place_loc,place_name
"{'lat': -7.282356, 'lng': 112.7949253}",Institut Teknologi Sepuluh Nopember
"{'lat': -7.282356, 'lng': 112.7949253}",Sepuluh Nopember Institute of Technology (ITS)
"{'lat': -7.282481599999998, 'lng': 112.7948026}",Badan Akademik & Kemahasiswaan
"{'lat': -7.2821281, 'lng': 112.7951279}",Advanced Materials Research Group
"{'lat': -7.282614, 'lng': 112.7952948}",Bakso Parlin
"{'lat': -7.2827666, 'lng': 112.7947711}",Kepegawaian - Biro Umum ITS
"{'lat': -7.2819324, 'lng': 112.7951638}",Lapangan Perpustakaan ITS
"{'lat': -7.2816821, 'lng': 112.7955422}",Library of ITS Surabaya
"{'lat': -7.282507499999999, 'lng': 112.794813}",Dewan Profesor ITS
"{'lat': -7.282452699999999, 'lng': 112.7947429}",ITS Suroboyo
"{'lat': -7.282610300000001, 'lng': 112.7949692}",Dir. PAL ITS
"{'lat': -7.282309300000002, 'lng': 112.7946474}",Fakultas Sains ITS
"{'lat': -7.2821281, 'lng': 112.7951278}",Cafe teknik kimia
"{'lat': -7.2821281, 'lng': 112.7951278}",Gazebo Lingkar Perpustakaan ITS
"{'lat': -7.2821916, 'lng': 112.794585}",Pusat Studi Permukiman dan Lingkungan Hidup LPPM ITS
"{'lat': -7.2823669, 'lng': 112.7945491}",Plaza dr. Angka
"{'lat': -7.282495499999999, 'lng': 112.7953044}",Gedung UPMS ITS
"{'lat': -7.282338499999999, 'lng': 112.7945071}","Sekretariat ITK, Baak Lantai 3 Surabaya"
"{'lat': -7.282763799999999, 'lng': 112.7948204}",DPP SARPRAS - ITS
"{'lat': -7.2823714, 'lng': 112.7944662}",KANTOR DEWAN PROFESOR ITS SUKOLILO
"{'lat': -7.2815577, 'lng': 112.7943882}",Rektorat ITS
"{'lat': -7.282308899999999, 'lng': 112.7943217}",Pos Satuan Keamanan Kampus (SKK)
"{'lat': -7.282131099999999, 'lng': 112.7943993}",Taman Samping Rektorat
"{'lat': -7.2823349, 'lng': 112.7940995}",Grab Corner ITS
"{'lat': -7.282188299999999, 'lng': 112.793893}",Tongkrongan Ojek Online
"{'lat': -7.281882599999999, 'lng': 112.7941957}",Air Mancur Rektorat ITS
"{'lat': -7.2829278, 'lng': 112.7941154}",Taman BAAK-ITS
"{'lat': -7.2824011, 'lng': 112.7934441}",Taman Manarul Ilmi
"{'lat': -7.282991099999999, 'lng': 112.793888}",Parkir Sepeda Motor KPA ITS
"{'lat': -7.2833443, 'lng': 112.7936757}",UKM Fotografi ITS (UKAFO)
"{'lat': -7.283316500000001, 'lng': 112.7936167}",UKM PSM ITS
"{'lat': -7.283427799999998, 'lng': 112.7939255}",ITSPress
"{'lat': -7.283532200000001, 'lng': 112.7941556}",SAC ITS
"{'lat': -7.2835076, 'lng': 112.7936063}",Sekretariat BEM ITS
"{'lat': -7.283447, 'lng': 112.793461}",PLH SIKLUS ITS
"{'lat': -7.2834431, 'lng': 112.7934404}",UKM Kopma dr Angka ITS
"{'lat': -7.283581700000001, 'lng': 112.7936047}",UKM Click ITS
"{'lat': -7.283801, 'lng': 112.793632}",ITS BNI
"{'lat': -7.283841900000001, 'lng': 112.7937136}",ATM Bank BNI
"{'lat': -7.282946099999999, 'lng': 112.7936533}",Kran Air Siap Minum (KASM) ITS
"{'lat': -7.283315999999998, 'lng': 112.7938943}",M-Web ITS
"{'lat': -7.283327900000001, 'lng': 112.7935766}",UKM Maritime Challenge ITS
"{'lat': -7.283390799999997, 'lng': 112.7936543}",Sekretariat UKM Fotografi ITS
"{'lat': -7.283456399999999, 'lng': 112.7937052}",Gerakan Pramuka Gugusdepan Surabaya 610-611
"{'lat': -7.283381899999999, 'lng': 112.7935758}",Sekretariat LMB ITS
"{'lat': -7.2841266, 'lng': 112.7940467}",Kantin Pusat ITS
"{'lat': -7.283398899999998, 'lng': 112.7935736}",ITS Mengajar
"{'lat': -7.283389, 'lng': 112.7935717}",Washabi Shoes Care
"{'lat': -7.2834637, 'lng': 112.7935601}",UKM UKTK ITS
"{'lat': -7.2835209, 'lng': 112.7935493}",Sekretariat UKM TDC
"{'lat': -7.283307000000001, 'lng': 112.7934944}",Sekretariat UKM Shorinji Kempo ITS
"{'lat': -7.2833779, 'lng': 112.7934303}",SCC ITS
"{'lat': -7.283514199999999, 'lng': 112.7935208}","Mako MENWA, SCC lt2"
"{'lat': -7.2836305, 'lng': 112.7936163}",UKM KSR PMI ITS SURABAYA
"{'lat': -7.2838405, 'lng': 112.7937374}",CDM BNI
"{'lat': -7.284301800000001, 'lng': 112.7930122}",Bank Mandiri ITS
"{'lat': -7.2844439, 'lng': 112.7943417}",Departemen Fisika Fakultas Sains ITS
"{'lat': -7.283961199999998, 'lng': 112.7937723}",BANK BTN ATM
"{'lat': -7.283984000000001, 'lng': 112.7938324}",ATM Bank BRI
"{'lat': -7.2839219, 'lng': 112.793955}",Soto Ayam Barokah
"{'lat': -7.283822499999999, 'lng': 112.7940026}",ITS Mart
"{'lat': -7.283944000000001, 'lng': 112.794072}",BFC Kantin ITS Surabaya
"{'lat': -7.283766900000001, 'lng': 112.7941637}",Kantor Pos ITS
"{'lat': -7.283981000000001, 'lng': 112.793971}",HARVEST SNACK(ayam pokpok)
"{'lat': -7.283801900000001, 'lng': 112.7942467}",Kantor Fasilitas Umum ITS
"{'lat': -7.283381899999999, 'lng': 112.7948013}",Digital Innovation Lounge (DILo) ITS
"{'lat': -7.283873100000001, 'lng': 112.7949662}",Departemen Kimia Fakultas Sains ITS
"{'lat': -7.284490000000002, 'lng': 112.794756}",Faculty of Sciences
"{'lat': -7.284856999999999, 'lng': 112.7949881}",Sekretariat Himatika-ITS
"{'lat': -7.284632, 'lng': 112.7954001}",Badan Eksekutif Mahasiswa Fakultas Teknologi Industri (BEM FTI ITS)
"{'lat': -7.283885700000001, 'lng': 112.7951888}",Departemen Kimia ITS
